,answer,ans_score,senti_score,label,dummy
0,sluggish economic activity,0.05841439962387085,-0.9997307658195496,NEGATIVE,0
1,unchanged,0.17799831926822662,-0.9726487398147583,NEGATIVE,0
2,Dealers were cautiously optimistic,0.30175572633743286,-0.688079833984375,NEGATIVE,0
3,sales were sluggish,0.07128532975912094,-0.9997642636299133,NEGATIVE,0
4,expanded modestly in recent weeks,0.17476239800453186,0.9998424053192139,POSITIVE,1
5,growth of economic activity has slowed in recent weeks,0.1111990436911583,-0.979194700717926,NEGATIVE,0
6,Most Districts reported that economic activity remained sluggish,0.25278258323669434,-0.9995043277740479,NEGATIVE,0
7,below those of recent years,0.4865773618221283,0.987425684928894,POSITIVE,1
8,overwhelmingly optimistic,0.4958244860172272,0.9995135068893433,POSITIVE,1
9,flat-to-down,0.5272762775421143,-0.99947589635849,NEGATIVE,0
10,slower than reported earlier,0.33391639590263367,-0.9976678490638733,NEGATIVE,0
11,expectations are for a summer with low fares and intense competition,0.21584980189800262,0.897685706615448,POSITIVE,1
12,increased optimism,0.40337565541267395,0.9997145533561707,POSITIVE,1
13,not quite as strong as might be expected,0.12134234607219696,-0.9997928738594055,NEGATIVE,0
14,the outlook was a bit more upbeat,0.1569068729877472,0.9938719272613525,POSITIVE,1
15,improvement,0.4973452687263489,0.9987468719482422,POSITIVE,1
16,Economic activity continued to expand,0.29871606826782227,0.9992129802703857,POSITIVE,1
17,Deposits were mixed and credit quality improved,0.14065860211849213,0.9987314343452454,POSITIVE,1
18,wages to increase,0.14125604927539825,0.9946752786636353,POSITIVE,1
19,high level,0.21621865034103394,0.9997909665107727,POSITIVE,1
20,improvement in motor vehicle sales,0.04635084420442581,0.9991913437843323,POSITIVE,1
21,more producers planned to store crops in hope of higher prices in the future,0.14353272318840027,-0.9973088502883911,NEGATIVE,0
22,well below expectations,0.21654491126537323,-0.948983907699585,NEGATIVE,0
23,price inflation remained relatively steady,0.2586980164051056,0.9345628619194031,POSITIVE,1
