year,quarter,Beige2
2010,3,0.0028959810733795
2010,4,8.678436279296875e-05
2011,1,0.9996145069599152
2011,2,0.9980128109455108
2011,3,0.0012457072734832
2011,4,-0.9981009662151336
2012,1,0.99949848651886
2012,2,0.9988610446453094
2012,3,0.9996658563613892
2012,4,-8.150935173034668e-05
2013,1,0.9995805025100708
2013,2,0.9988037049770356
2013,3,0.9995179176330566
2013,4,0.9988610446453094
2014,1,0.00168177485466
2014,2,0.999847948551178
2014,3,0.6508278250694275
2014,4,0.0022726953029632
2015,1,0.998901665210724
2015,2,0.9989867210388184
2015,3,-0.0002991259098052
2015,4,0.015743613243103
2016,1,0.9990284144878387
2016,2,-8.311867713928223e-05
2016,3,0.9998332262039183
2016,4,0.1067407727241516
2017,1,0.9996658563613892
2017,2,0.825330525636673
2017,3,0.9990351498126984
2017,4,0.9996755719184875
2018,1,0.9996658563613892
2018,2,0.999040514230728
2018,3,0.9988707602024078
2018,4,0.998223602771759
2019,1,0.9988175928592682
2019,2,0.0119887888431549
2019,3,0.9995681047439576
2019,4,0.9992397129535676
2020,1,0.9988610446453094
2020,2,-0.9951243996620178
2020,3,7.995963096618652e-05
2020,4,-0.9995700418949128
2021,1,-0.0007538795471191
2021,2,0.998223602771759
2021,3,0.8245257139205933
2021,4,0.9990431666374208
2022,1,0.9996658563613892
