,answer,ans_score,senti_score,label,dummy
0,It is of paramount importance to get inflation down,0.08150728791952133,-0.9777937531471252,NEGATIVE,0
1,fiscal policy,0.32693222165107727,0.9888285994529724,POSITIVE,1
2,"the Fed's goals for monetary policyto promote maximum, inclusive employment",0.0022277641110122204,0.9967395663261414,POSITIVE,1
3,Keeping longer-term inflation expectations anchored,0.08380009233951569,0.9224894642829895,POSITIVE,1
4,"Unfortunately, monetary policy isn't well-suited",0.28718701004981995,-0.9997929930686951,NEGATIVE,0
5,stability.,0.06135609745979309,0.9997764229774475,POSITIVE,1
6,that the Federal Reserve did not take such support for granted,0.04256846010684967,-0.7737906575202942,NEGATIVE,0
7,"unprecedented in its scale, scope, and speed",0.026887590065598488,0.99937903881073,POSITIVE,1
8,resolve Indian Country's credit needs,0.041686318814754486,0.9934365749359131,POSITIVE,1
9,Furthering the efforts around the Federal Reserve System to harness the power of innovation,0.005957516375929117,0.9993364214897156,POSITIVE,1
10,The timing of any policy action,0.07930901646614075,0.7446843385696411,POSITIVE,1
11,Today stablecoins lack that oversight,0.10544450581073761,-0.9982057809829712,NEGATIVE,0
12,beyond the power of monetary policy to address,0.18090084195137024,-0.9190054535865784,NEGATIVE,0
13,conservative,0.2129514515399933,-0.8715680241584778,NEGATIVE,0
14,Only 37 percent,0.35518038272857666,-0.8654916286468506,NEGATIVE,0
15,inflation expectations well anchored at the 2 percent longer-run goal,0.1009296253323555,0.9419569373130798,POSITIVE,1
16,competitive landscape,0.11345856636762619,0.9997950196266174,POSITIVE,1
17,our framework,0.16230738162994385,0.9931657910346985,POSITIVE,1
18,stand ready to adjust policy,0.10544151812791824,0.6876087188720703,POSITIVE,1
19,13.6 percent,0.22153447568416595,0.9937924742698669,POSITIVE,1
20,no,0.060287605971097946,-0.9964459538459778,NEGATIVE,0
21,price stability,0.7018569707870483,0.9980217218399048,POSITIVE,1
22,to foster ongoing dialogue and raise awareness of Indigenous economic and financial issues,0.006347001064568758,0.999498724937439,POSITIVE,1
23,Fiscal and Monetary Stabilization Policy,0.13330385088920593,0.9845972657203674,POSITIVE,1
24,one that considers the potential for complex interactions across the financial system,0.3684723377227783,0.9970393776893616,POSITIVE,1
25,The reign of LIBOR will end imminently,0.0738266184926033,-0.6968803405761719,NEGATIVE,0
26,supervisory,0.5054244995117188,0.9775165319442749,POSITIVE,1
27,vigilant,0.44727823138237,0.9982093572616577,POSITIVE,1
28,crucial in how we conduct monetary policy but means even more in extraordinary times,0.050474412739276886,0.9984571933746338,POSITIVE,1
29,It is my sincere intention,0.05062905699014664,0.9996150732040405,POSITIVE,1
30,Your teachers,0.3842720091342926,0.9946051239967346,POSITIVE,1
31,not an economic outcome,0.7359538674354553,-0.9993085861206055,NEGATIVE,0
32,keeping inflation expectations well anchored,0.5111808776855469,0.9982784986495972,POSITIVE,1
33,there is more work to be done to get the economy back on strong footing,0.052302997559309006,-0.8000155091285706,NEGATIVE,0
34,"The economy is reopening, consumer spending is strong",0.07028907537460327,0.9996964931488037,POSITIVE,1
35,identifying and managing climate-related financial risks,0.026288514956831932,0.7335229516029358,POSITIVE,1
36,"last but not least, credible U.S. monetary policy",0.36219337582588196,0.992925763130188,POSITIVE,1
37,Perspectives on economic resilience,0.016329370439052582,0.9982020854949951,POSITIVE,1
38,to maintain a 0 percent CCyB,0.11079227179288864,-0.9246916174888611,NEGATIVE,0
39,opposed to settling back to pre-pandemic trends,0.025165319442749023,0.9067611694335938,POSITIVE,1
40,optimistic about the path of the economy,0.15228544175624847,0.9996447563171387,POSITIVE,1
41,consensus,0.06425056606531143,0.9983378648757935,POSITIVE,1
42,oversight framework gaps,0.08261718600988388,-0.9952184557914734,NEGATIVE,0
43,a word about the housing market,0.6417143940925598,0.9925413131713867,POSITIVE,1
44,accommodative stance,0.18958130478858948,0.9921742677688599,POSITIVE,1
45,"The outlook is bright, but risks remain",0.09978275001049042,-0.9876905679702759,NEGATIVE,0
46,our policy is in a good place.,0.23102442920207977,0.9998575448989868,POSITIVE,1
47,strong support,0.24764896929264069,0.9998675584793091,POSITIVE,1
48,The March,0.010719921439886093,0.9972013235092163,POSITIVE,1
49,accommodative,0.13725639879703522,0.9966986775398254,POSITIVE,1
50,robust evolution,0.1282922774553299,0.9998518228530884,POSITIVE,1
51,consistent with closing the inflation gap under a variety of make-up strategies,0.0588422454893589,0.9601640701293945,POSITIVE,1
52,macroprudential,0.28642773628234863,0.9268396496772766,POSITIVE,1
53,until employment and inflation achieve levels consistent with our maximum employment and inflation goals,0.10500170290470123,0.9184192419052124,POSITIVE,1
54,"New York or at the federal level, represents the best solution",0.019334983080625534,0.9995524287223816,POSITIVE,1
55,large unbanked population,0.024719472974538803,-0.9885411262512207,NEGATIVE,0
56,monetary policy,0.015511882491409779,0.9795569181442261,POSITIVE,1
57,countercyclical capital buffer,0.3002767264842987,-0.9865516424179077,NEGATIVE,0
58,uncertainty,0.034337129443883896,-0.9932219982147217,NEGATIVE,0
59,accommodative stance,0.13955126702785492,0.9921742677688599,POSITIVE,1
60,our community development mission is to promote economic growth and financial stability across the country,0.0036044460721313953,0.9996222257614136,POSITIVE,1
61,Let me start by noting that these are my own views,0.022159568965435028,0.8794260621070862,POSITIVE,1
62,community banking,0.033892206847667694,0.9928109049797058,POSITIVE,1
63,the outlook is highly uncertain,0.22656257450580597,-0.9994507431983948,NEGATIVE,0
64,banks and regulators should think about the opportunities and challenges posed by AI,0.11752281337976456,0.9957007765769958,POSITIVE,1
65,"Federal Reserve monetary policy, and our new monetary policy framework",0.060622960329055786,0.9786797761917114,POSITIVE,1
66,carbon emissions,0.07328350841999054,-0.7435759902000427,NEGATIVE,0
