year,quarter,Q1
2010,3,-0.3794078230857849
2010,4,0.0020608603954315186
2011,1,0.24139413237571716
2011,2,0.7592727720737458
2011,3,0.3697700599829356
2011,4,0.48778946697711945
2012,1,-0.2677881284193559
2012,2,0.0025881528854370117
2012,3,-0.17872971296310425
2012,4,-0.6311927437782288
2013,1,-0.7484567761421204
2013,2,-0.1846516966819763
2013,3,0.9227745831012726
2013,4,0.9179363250732422
2014,1,0.12931137084960936
2014,2,-0.998845249414444
2014,3,-0.46100716292858124
2014,4,0.9279557466506958
2015,1,-0.2449766993522644
2015,2,0.990397185087204
2015,3,0.017640650272369385
2015,4,-0.04303652048110962
2016,1,-0.9929017424583435
2016,2,-0.0007341504096984863
2016,3,0.002903491258621216
2016,4,0.9966268539428711
2017,1,-0.999212384223938
2017,2,0.9997571110725403
2017,3,0.998908281326294
2017,4,0.9927103221416473
2018,1,0.9854433536529541
2018,2,0.9743964076042175
2018,3,0.9985125660896301
2018,4,0.9981480836868286
2019,1,-0.999572217464447
2019,2,0.6353614926338196
2019,3,-0.8914875189463297
2019,4,0.4107847412427266
2020,1,0.9971816539764404
2020,2,0.6032474279403687
2020,3,0.34153664112091064
2020,4,0.027362406253814697
2021,1,-0.0024104416370391846
2021,2,-0.9705209136009216
2021,3,-0.21842706203460693
2021,4,-0.8536325693130493
2022,1,0.9990614652633667
